ds,yhat,yhat_lower,yhat_upper
2025-04-08 05:00:00,-2.7619908099833625,-4.595896201650588,-0.8324249636391414
2025-04-08 05:10:00,-2.65914366499124,-4.544658529005444,-0.7136589943601327
2025-04-08 05:20:00,-2.5558917813669764,-4.487499743145329,-0.6874197495485855
2025-04-08 05:30:00,-2.4537503140283836,-4.393925584913943,-0.6311012346905851
2025-04-08 05:40:00,-2.3542094798185516,-4.36259619494734,-0.5343075658561192
2025-04-08 05:50:00,-2.2587024547346277,-4.23947975728948,-0.38630382779063216
2025-04-08 06:00:00,-2.1685752433200576,-4.136384319220845,-0.2919979852183944
2025-04-08 06:10:00,-2.0850592597712194,-4.009644874255678,-0.1925615068535834
2025-04-08 06:20:00,-2.0092472727923685,-3.9239730526079217,-0.25487098002297803
2025-04-08 06:30:00,-1.9420732606733364,-3.7615517995366456,-0.014824174082593759
2025-04-08 06:40:00,-1.8842966033250201,-3.758766876341245,-0.059844840962608614
2025-04-08 06:50:00,-1.8364909097447222,-3.701187661934744,0.1233485288892944
2025-04-08 07:00:00,-2.62061164238694,-4.626999145024146,-0.6729756985308657
2025-04-08 07:10:00,-2.593698564698216,-4.330094629260442,-0.7898414506162624
2025-04-08 07:20:00,-2.5773229009482588,-4.513556388543942,-0.715293483386184
2025-04-08 07:30:00,-2.571298969486201,-4.510080471323455,-0.6961875141945326
2025-04-08 07:40:00,-2.5752699303664994,-4.632043992907955,-0.6644549142688561
2025-04-08 07:50:00,-2.588723182159853,-4.732116361876716,-0.7205641145368703
2025-04-08 08:00:00,-2.611008852573376,-4.606830705444883,-0.9063481233348873
2025-04-08 08:10:00,-2.641360755744562,-4.550900238047583,-0.8184616325861312
2025-04-08 08:20:00,-2.6789191374807686,-4.529058403928367,-0.9153070159874034
2025-04-08 08:30:00,-2.7227545005955767,-4.543445986434437,-0.9991569658609247
2025-04-08 08:40:00,-2.771891793927998,-4.677571564037532,-0.8744782409058555
2025-04-08 08:50:00,-2.825334263945626,-4.777992670184123,-1.0267923107386443
2025-04-08 09:00:00,-2.8820863018749594,-4.763489429406216,-0.9418665197306706
2025-04-08 09:10:00,-2.941174675887777,-4.762573747137188,-1.0241268536437806
2025-04-08 09:20:00,-3.0016676088381233,-4.851081088901652,-1.2343712634337523
2025-04-08 09:30:00,-3.062691250875164,-5.1116885325637345,-1.1812305597241912
2025-04-08 09:40:00,-3.123443194815881,-4.977157424941888,-1.2111807301289694
2025-04-08 09:50:00,-3.183202790679147,-4.889164358621151,-1.391995272155091
2025-04-08 10:00:00,-2.419764129333182,-4.236376645120421,-0.4412458770893528
2025-04-08 10:10:00,-2.4757356784677556,-4.406992116094977,-0.6038378722709284
2025-04-08 10:20:00,-2.5290966678929117,-4.438294687278146,-0.6327550030113422
2025-04-08 10:30:00,-2.579490425265887,-4.439130932396046,-0.5996064831263245
2025-04-08 10:40:00,-2.6266449624954245,-4.409868892026155,-0.6177250634469844
2025-04-08 10:50:00,-2.670365195334839,-4.51449093003419,-0.8593634724185902
2025-04-08 11:00:00,-2.7105232499942566,-4.717404444933526,-0.9953058274153431
2025-04-08 11:10:00,-2.747047362326965,-4.657562516080901,-0.8866325924367292
2025-04-08 11:20:00,-2.779909909007891,-4.59058093832944,-0.7841464211880298
2025-04-08 11:30:00,-2.809115125787836,-4.704091001034666,-0.8785771084675434
2025-04-08 11:40:00,-2.8346870616003996,-4.672375049818893,-0.872771297761545
2025-04-08 11:50:00,-2.856658293812108,-4.800059848933145,-0.9050454822491438
2025-04-08 12:00:00,-2.8750598864556562,-4.8060414260984174,-0.9172483118569373
2025-04-08 12:10:00,-2.8899130147136183,-4.893703721252101,-0.9163053848013667
2025-04-08 12:20:00,-2.90122260397518,-4.7547006951795945,-0.9708394039780734
2025-04-08 12:30:00,-2.9089732465623843,-4.728268561605301,-0.9119776054361481
2025-04-08 12:40:00,-2.9131275638278664,-4.75895373589452,-0.993477788297515
2025-04-08 12:50:00,-2.9136270808905156,-4.826938820857144,-0.83751048976983
2025-04-08 13:00:00,-2.910395578465521,-4.8116158147129555,-0.9432356366719553
2025-04-08 13:10:00,-2.903344784569233,-4.784622727609008,-0.9470478566407361
2025-04-08 13:20:00,-2.8923821723604,-4.578329393708653,-1.053969078462603
2025-04-08 13:30:00,-2.8774205416361007,-4.94739818772764,-0.9580058734353353
2025-04-08 13:40:00,-2.8583889842357832,-4.705906280731542,-0.9710472559045307
2025-04-08 13:50:00,-2.83524477026314,-4.689836325926804,-0.9948188082267777
2025-04-08 14:00:00,-2.8079856444152953,-4.783776911931172,-0.9414706204544245
2025-04-08 14:10:00,-2.7766619928043186,-4.684982876185898,-0.8255212124172657
2025-04-08 14:20:00,-2.741388329901645,-4.690289795441834,-0.7794881762570347
2025-04-08 14:30:00,-2.7023535646085364,-4.652212373590182,-0.777392611725116
2025-04-08 14:40:00,-2.6598295330416892,-4.633522889679344,-0.8755261129941645
2025-04-08 14:50:00,-2.614177333077292,-4.575202773846057,-0.6644576355460188
2025-04-08 15:00:00,-2.565851060154792,-4.363475571260244,-0.6679638343282773
2025-04-08 15:10:00,-2.5153986235966053,-4.446036381642161,-0.7179736480117572
2025-04-08 15:20:00,-2.463459416269576,-4.315754691897696,-0.6240728233870543
2025-04-08 15:30:00,-2.410758712108062,-4.34421286239819,-0.46542320996383346
2025-04-08 15:40:00,-2.358098776482379,-4.082751427449079,-0.40697810485212527
2025-04-08 15:50:00,-2.3063467867366776,-4.279531057751103,-0.32306970357708303
2025-04-08 16:00:00,-2.256419771862062,-4.2302283588961735,-0.373613460666046
2025-04-08 16:10:00,-2.2092668892285623,-3.9923432550289277,-0.35901556489088304
2025-04-08 16:20:00,-2.1658494559320705,-3.986499354399833,-0.16424171910384716
2025-04-08 16:30:00,-2.12711924201687,-4.113885611118269,-0.20973138177222608
2025-04-08 16:40:00,-2.093995606986523,-4.078752541786886,-0.3091514717441518
2025-04-08 16:50:00,-2.0673421204058973,-4.007866385301471,-0.18545344904483033
2025-04-08 17:00:00,-2.869517345432586,-4.723511093120957,-0.9929326641133157
2025-04-08 17:10:00,-2.858056483562474,-4.862145419313344,-0.9284651512063791
2025-04-08 17:20:00,-2.8550945755822816,-4.774581402958098,-0.9520284568843969
2025-04-08 17:30:00,-2.861051929101399,-4.858111857259933,-1.0319567975624238
2025-04-08 17:40:00,-2.8761923971382317,-4.765164391635232,-0.9346361501460374
2025-04-08 17:50:00,-2.9006110655322304,-4.755913869025256,-0.9408858498802535
2025-04-08 18:00:00,-2.9342258220665793,-4.850740422855181,-1.0521163150972395
2025-04-08 18:10:00,-2.9767731787458667,-4.941409856185151,-1.1630513284680881
2025-04-08 18:20:00,-3.0278086034504823,-4.850551515912989,-1.233593896130848
2025-04-08 18:30:00,-3.086711492535292,-5.11294612642433,-1.1302430515144326
2025-04-08 18:40:00,-3.152694783861008,-5.089704762750667,-1.2646371584443419
2025-04-08 18:50:00,-3.224819075163966,-5.058811373992733,-1.3052361648483093
2025-04-08 19:00:00,-3.302010979917691,-5.320122418187116,-1.2538076872675197
2025-04-08 19:10:00,-3.3830853251489965,-5.303701517453839,-1.5396821812060915
2025-04-08 19:20:00,-3.46677067653441,-5.5132724981278045,-1.6486838352723343
2025-04-08 19:30:00,-3.551737570898953,-5.439194525457873,-1.7680582348036609
2025-04-08 19:40:00,-3.63662874756934,-5.562576989516776,-1.7840741103534343
2025-04-08 19:50:00,-3.720090598218638,-5.676690961926083,-2.003537117038995
2025-04-08 20:00:00,-2.9792310079285667,-4.970649481643087,-1.1233519711915916
2025-04-08 20:10:00,-3.0559467336288755,-4.944439663577043,-1.3158165449780854
2025-04-08 20:20:00,-3.1275094646157884,-5.143204108119686,-1.138780728356546
2025-04-08 20:30:00,-3.192889734183861,-5.0722884382817846,-1.2586351350308305
2025-04-08 20:40:00,-3.2512078981795134,-5.127401987828033,-1.2213086736344811
2025-04-08 20:50:00,-3.301755466864658,-5.349230944961195,-1.5309914288305642
