ds,yhat,yhat_lower,yhat_upper
2025-04-08 05:00:00,-0.669079860904527,-1.2334644621755075,-0.1306010733410279
2025-04-08 05:10:00,-0.6695447919488329,-1.2004310921064414,-0.11773180229827793
2025-04-08 05:20:00,-0.6700410529539711,-1.2205622007570838,-0.17806226591294697
2025-04-08 05:30:00,-0.6705272795663246,-1.2099678056926275,-0.12685910280896193
2025-04-08 05:40:00,-0.6709580751695801,-1.197578692755679,-0.12728862238409677
2025-04-08 05:50:00,-0.6712856030236486,-1.1899505605469112,-0.13208982325151375
2025-04-08 06:00:00,-0.6714613161354507,-1.1995884925451785,-0.1452455714934708
2025-04-08 06:10:00,-0.6714377674191226,-1.2598744753651543,-0.15000461208449642
2025-04-08 06:20:00,-0.6711704391778273,-1.2279184768349782,-0.13450277410452524
2025-04-08 06:30:00,-0.6706195294018359,-1.2164950354557689,-0.12952893871494928
2025-04-08 06:40:00,-0.6697516328400694,-1.2141647760795131,-0.14129546023093031
2025-04-08 06:50:00,-0.6685412573420982,-1.2242763902215426,-0.12363256371504003
2025-04-08 07:00:00,-0.6568689363832085,-1.1749354750535579,-0.11372860839513521
2025-04-08 07:10:00,-0.6549349930431214,-1.1768524167568362,-0.1133301618421247
2025-04-08 07:20:00,-0.6526411546200593,-1.1736761584825157,-0.11958235294899862
2025-04-08 07:30:00,-0.650003666463295,-1.1959433781945057,-0.11080465996131802
2025-04-08 07:40:00,-0.6470501240965845,-1.209456914862363,-0.10127929213460132
2025-04-08 07:50:00,-0.6438191179981102,-1.1528472123597486,-0.12052611349139435
2025-04-08 08:00:00,-0.6403595091912087,-1.1699706296004047,-0.10777606384509408
2025-04-08 08:10:00,-0.6367293496498374,-1.1240950352015255,-0.08714044301319289
2025-04-08 08:20:00,-0.6329944731148371,-1.137116506170655,-0.07482799341328773
2025-04-08 08:30:00,-0.6292267928124742,-1.1690944948742124,-0.05342542652609824
2025-04-08 08:40:00,-0.6255023525923542,-1.2025732681319576,-0.09016228304840027
2025-04-08 08:50:00,-0.621899186526436,-1.1647820016625146,-0.08186785725591127
2025-04-08 09:00:00,-0.6184950491715883,-1.1922239076395142,-0.05504540923320941
2025-04-08 09:10:00,-0.6153650837626694,-1.1596955530185786,-0.0812194080233488
2025-04-08 09:20:00,-0.6125794989341968,-1.1326417825756352,-0.035055840049010994
2025-04-08 09:30:00,-0.6102013255173521,-1.1219007099046083,-0.07190721322638156
2025-04-08 09:40:00,-0.6082843239071916,-1.1734911142192184,-0.058828629520538314
2025-04-08 09:50:00,-0.606871109166012,-1.0967451102669383,-0.02689976526817269
2025-04-08 10:00:00,-0.6160947396067716,-1.189389711396829,-0.017082784414492267
2025-04-08 10:10:00,-0.6157647192838392,-1.172192423750025,-0.0782986117913316
2025-04-08 10:20:00,-0.6159852196776002,-1.1464326948442036,-0.0614947558194113
2025-04-08 10:30:00,-0.6167418752549839,-1.170225855087858,-0.0347937482668342
2025-04-08 10:40:00,-0.6180049358074566,-1.1768303128603588,-0.05322113094707862
2025-04-08 10:50:00,-0.6197296817991457,-1.1285408738096516,-0.05969302474737169
2025-04-08 11:00:00,-0.621857283866559,-1.153127396189043,-0.10778086208144501
2025-04-08 11:10:00,-0.6243160904067826,-1.1488673962387719,-0.08032168986971634
2025-04-08 11:20:00,-0.627023314262318,-1.1523050320160568,-0.06703943912857013
2025-04-08 11:30:00,-0.62988707739793,-1.2111529976476767,-0.041683947720619036
2025-04-08 11:40:00,-0.6328087612675631,-1.2143032424274076,-0.10749177557966806
2025-04-08 11:50:00,-0.6356856009185475,-1.1776421620858506,-0.12028178028338403
2025-04-08 12:00:00,-0.638413452822217,-1.1869573360514294,-0.07866538993589996
2025-04-08 12:10:00,-0.6408896604806743,-1.1964388518185995,-0.14592261279540714
2025-04-08 12:20:00,-0.6430159378791769,-1.1944270106643398,-0.06741792097681731
2025-04-08 12:30:00,-0.6447011893707311,-1.1851379412551686,-0.11826939484076734
2025-04-08 12:40:00,-0.6458641852888356,-1.200949394666191,-0.10330712955335752
2025-04-08 12:50:00,-0.6464360157549143,-1.1843479057103343,-0.11823770940700648
2025-04-08 13:00:00,-0.6463622505504084,-1.1948644843400051,-0.10869826770342479
2025-04-08 13:10:00,-0.6456047404572924,-1.20319743237531,-0.10978376742094592
2025-04-08 13:20:00,-0.6441430049625572,-1.2058496047358118,-0.13825974288719273
2025-04-08 13:30:00,-0.6419751623700932,-1.1831813015567,-0.08329449612851025
2025-04-08 13:40:00,-0.6391183708431684,-1.1850703198688897,-0.1284617934076641
2025-04-08 13:50:00,-0.6356087624272324,-1.2100496546677346,-0.08289248459049951
2025-04-08 14:00:00,-0.6315008661680788,-1.1585281911623078,-0.12335043626879741
2025-04-08 14:10:00,-0.6268665307905993,-1.1816768029832485,-0.09167381163858698
2025-04-08 14:20:00,-0.6217933714908901,-1.16793975306796,-0.06665054787069652
2025-04-08 14:30:00,-0.6163827788502393,-1.0899673355292958,-0.07575125291770862
2025-04-08 14:40:00,-0.6107475403922167,-1.1450764578541397,-0.0930792800614613
2025-04-08 14:50:00,-0.6050091363817773,-1.1134651275879743,-0.05085644630001926
2025-04-08 15:00:00,-0.5992947808779695,-1.1141385672746986,-0.05434508850181994
2025-04-08 15:10:00,-0.5937342864110546,-1.1461840657158084,-0.05612290802252056
2025-04-08 15:20:00,-0.588456836002083,-1.1274540697368756,-0.03230931602986177
2025-04-08 15:30:00,-0.5835877489748309,-1.1196503880211492,-0.03790081537394023
2025-04-08 15:40:00,-0.5792453275642647,-1.1102986093783058,-0.06553507123130732
